company,effective_date,location,number_of_workers
LECOM Medical Fitness and Wellness Center,8/19/20,"Erie, PA",Unk
Sun Rich Fresh Foods (PA) Inc.,"October 11, 2020 or within 14 days thereafter","Berks, PA",125
Embassy Suites,3/21/20,"Delaware, PA",23
Kaplan International Languages,10/15/20,"Philadelphia, PA",19
Maritz,8/21/20,"Philadelphia, PA",2
Avis Philadelphia,"April, 2020","Philadelphia, PA",152
Avis Budget Car Rental LLC,"April, 2020","Allegheny, PA",2
Wyndham Philadelphia Historic District,March 2020,"Philadelphia, PA",84
Johnson & Johnson,9/4/20 to 10/2/20,"Chester, PA",3
Hershey Entertainment $ Resort,3/19/2020,"Dauphin, PA",603
Pittsburgh Opera Benedum Center for Performing Arts,4/6/20,"Allegheny, PA",427
BWSR LLC,"September 30, 2020","Allegheny, PA",45
Curation Foods,8/31/20,"York, PA",141
Titanium Metals Corporation,6-26-20,"Berks, PA",156
Consol Energy Inc.,"August 31, 2020","Washington, PA",233
"United Airlines, Pittsburgh International Airport","October 1, 2020","Allegheny, PA",66
"United Airlines, Philadelphia International Airport","October 1, 2020","Philadelphia, PA",95
Kimpton Hotel Palomour Philadelphia,March 2020,"Philadelphia, PA",115
First Transit,7/31/20,"Montgomery, PA",37
Omni William Penn Hotel,03/24/20,"Allegheny, PA",349
KHRG Pittsburgh LLC (Kimpton Hotel Monaco Pittsburgh},March 2020,"Allegheny, PA",138
"KHRG Philly Monaco, LLC",March 2020,"Philadelphia, PA",187
"Team Member Services, LLC",3/27/20,"Dauphin, PA",unknown
"Paradies Pleasant News, LLC","March 18, 2020","Philadelphia, PA",50
"American Airlines, Inc",10/01/20,"Philadelphia, PA",Unknown
PSA Airlines,10/01/20,"Philadelphia, PA",124
alphabroderlPrime,"March 19 – April 17, 2020","York, PA",221
JC Penney,9/23/20 - 10/7/20,"Allegheny, PA",108
Ruth’s Chris Steak House,7/19/20,"Montgomery, PA",44
"LAZ Parking Mid Atlantic, LLC",3/18/20 - 6/15/20,"Philadelphia, PA",118
Double Tree by Hilton,3/13/20,"Philadelphia, PA",126
DFIN (Donnelley Financial),9/23/20,"Lancaster, PA",225
Wyndham Grand Pittsburgh Downtown,"March 21, 2020","Allegheny, PA",129
The Inn at Penn (Hilton),3/20/20,"Philadelphia, PA",60
Republic Airways,10/1/20,"Philadelphia, PA",49
Republic Airways,10/1/20,"Monroe, PA",183
Hudson Group,7/31/20,"Philadelphia, PA",74
PSA Airlines,10/01/20,"Philadelphia, PA",14
"AK Coal Recourse, Inc",6/30/20 - 9/30/20,"Somerset, PA",114
Waupaca Foundry INC,8/1/20,"Tioga County, PA",203
The Philadelphia Marriott Downtown,3/21/20,"Philadelphia, PA",577
"Resources for Human Development, Inc",7/27/20,"Philadelphia, PA",70
The Rittenhouse Hotel,6/2/20,"Philadelphia, PA",212
Marriott Hotel Services Inc.,3/13/20,"Philadelphia, PA",174
The Westin Philadelphia,6/2/20,"Philadelphia, PA",75
"SW Hotels & Resorts WW, LLC",3/17/20,"Allegheny, PA",233
The Ritz Carlton Hotel Company LLC dba The Ritz Carlton Philadelphia,3/23/20,"Philadelphia, PA",210
Glen Raven,8/4/20,"Northumberland, PA",101
Philadelphia Sheraton University City,3/16/20,"Philadelphia, PA",67
New Story LLC,6/1/20,"Multiple, PA",403
SWEPI a subsidiary of Shell Oil Company,7/31/20,"Tioga, PA",59
The Notary Hotel,3/20/20,"Philadelphia, PA",170
"LIBERTY PROPERTY 18TH & ARCH HOTEL, LLC (Four Seasons Hotel Philadelphia at Comcast Center)",5/26/20,"Philadelphia, PA",179
Kimmel Center – 4 Locations,3/17/20 and 6/22/20,"Philadelphia, PA",Not provided
Century 21 Department Store,6/9/20,"Philadelphia, PA",63
Gitman Bros,within 90 days,"Schuylkill, PA",88
"Lincoln Learning Solutions, Inc",5/29/20,"Beaver, PA",122
Franklin Institute,6/12/20,"Philadelphia, PA",additional 21
Celeros Flow Technology,8/9/20 through 1st quarter of 2021,"Erie, PA",45
"Penn National Gaming, Inc",8/15/20,"Berks, PA",233 (This number also includes employees laid off from their Las Vegas location as well.)
Greater Valley YMCA,6/23/20 through 6/30/20,"Lehigh and Northampton, PA",300
Cabinetworks,"unknown, staggered layoffs are expected over the next 9 months","Huntingdon, PA",224
Community Development Institute Head Start,7/31/20,"Philadelphia, PA",57
City Winery Philadelphia,6/21/20,"Philadelphia, PA","79 Permanent, 64 Temporary"
Hollywood Casino at Penn National Race Course,"September 15, 2020","Dauphin County, PA",64
CCR Racing Management,"September 15, 2020","Allegheny County, PA",22
Washington Trotting Accusation,"August 15, 2020","Washington County, PA",180
The Bellevue Hotel (Hyatt),3/22/20,"Philadelphia, PA",143
The Bellevue Hotel Philadelphia,6/20/20,"Philadelphia, PA",5
The Logan Philadelphia Hotel,5/19/20,"Philadelphia, PA",250
Aveanna Healthcare (ABA Therapy),7/17/20,"Bucks, PA",96
ADESA Pennsylvania LLC,8/1/20,"Westmoreland, PA",42
ADESA Pennsylvania LLC,8/1/20,"Mercer, PA",17
Levy Premium Foodservice Limited Partnership,8/1/20,"Allegheny, PA",203
ADESA Pennsylvania LLC (York),8/1/20,"York, PA",43
Bon Appetit Management Co at Washington & Jefferson College,6/25/20,"Washington, PA",82
Boss Nova Robotics,7/1/20,"Allegheny, PA",61
"Resources for Human Development, Inc (Children’s Outreach Services Program)","August 31, 2020","Philadelphia, PA",Unk.
"CCM Foods, LLC dba The Haymaker Village Shop & Save",8/29/20,"Allegheny, PA",51
Fairmont Pittsburgh,8/29/20,"Allegheny, PA",50+
Cerner Corporation,8/25/20,"Chester, PA",39
Steward Easton Hospital,6/30/2020,"Northampton, PA",694
"TMI, LLC. a Seneca Company",12/31/20,"Allegheny, PA",44
Sheraton Suites Philadelphia Airport,3/16/20,"Philadelphia, PA",40
Huttig Building Products,3/25/20,"Westmoreland, PA",60
Hawthorn Suites Philadelphia Airport,3/21/20,"Philadelphia, PA",16
Enterprise Holdings,4/30/20,"Philadelphia, PA",70
Cheetah Chassis Corporation,6/29/20,"Columbia, PA",Not Listed
Enterprise Holdings,3/23/20,"Delaware, PA",19
Calfrac Well Services Corp,7/6/20,"Fayette, PA",159
Double Tree Suites,3/26/20,"Montgomery, PA",66
Embassy Suites,3/26/20,"Delaware, PA",43
Entripise Holdings - The Philadelphia Group Administrative Office,4/30/20,"Chester, PA",35
Cox Automotive,5/17/20,"Montgomery, PA",152
Cox Automotive,5/17/20,"Lancaster, PA",682
Cox Automotive,5/17/20,"Butler, PA",305
"Teleplan Services Texas, Inc",7/10/20,"Cumberland, PA",95
ArcelorMittal,7/5/20,"Butler, PA",92
Nine Energy Service,4/9/20,"Washington, PA",56
"Pond Lehocky Giordano, LLC",6/1/20,"Philadelphia, PA",76
Barclay Restaurant Group,4/17/20,"Philadelphia, PA",79
Buddakan Restaurant,3/23/20,"Philadelphia, PA",97
Butcher and Singer,3/23/20,"Philadelphia, PA",91
Continental Midtown,3/23/20,"Philadelphia, PA",127
Continental Old City,3/23/20,"Philadelphia, PA",83
Thirteenth St Restaurant Partnership,3/23/20,"Philadelphia, PA",172
BSSS Partners LP,3/23/20,"Philadelphia, PA",22
Bierfish Restaurant Partners d/b/a Frankford Hall,3/23/20,"Philadelphia, PA",50
700 St Restaurant d/b/a Jones,3/23/20,"Philadelphia, PA",72
BUNZL Retail Services,7/17/20,"Franklin, PA",68
"Parc Restaurant Partners, LP",3/23/20,"Philadelphia, PA",263
"Select Restaurant Partners LP, d/b/a Pizzeria Stella –",3/23/20,"Philadelphia, PA",42
"Back on South Restaurant Partners, LP d/b/a Serpico",3/23/20,"Philadelphia, PA",31
Talula’s,3/23/20,"Philadelphia, PA",149
Eighteen St Restaurant Partners LP d/b/a The Dandelion,3/23/20,"Philadelphia, PA",118
Sansom Restaurant Group Partners LP d/b/a POD,3/23/20,"Philadelphia, PA",71
Big City Restaurant Group LP,3/23/20,"Philadelphia, PA",78
"ArcelorMittal Plate LLC, Coatesville Plant",4/26/2020,"Chester, PA",6
Barcelona Wine Bar,4/1/20,"Philadelphia, PA",46
Cerner Corporation,7/15/20,"Chester, PA",1
Exide Technologies,7/21/20,"Lancaster, PA",169
Pittsburgh Cultural Trust,"March 13, 2020","Allegheny County, PA",222
"Merritt Hospitality, LLC",5/19/20,"Philadelphia, PA",102
Our Lady of Fatima,5/7/2020,"Deleware, PA",91
Hilton Philadelphia,5/15/2020,"Philadelphia, PA",114
Hilton Garden Inn Philadelphia,3/20/20,"Philadelphia, PA",106
Valley Forge Casino Resort,7/1/20 through 7/14/20,"Montgomery, PA",539
Wind Creek Bethlehem,6/1/20,"Northampton, PA","2,095"
"Poma Glass and Specialty Windows, Inc",7/24/20,"Bucks, PA",71
Merritt Hospitality (Embassy Suites Philadelphia),5/21/20,"Philadelphia, PA",46
ECFMG/FAIMER,6/12/20 - 7/1/20,"Philadelphia, PA",281
Morrison Healthcare,6/30/20,"Northampton, PA",38
Twelfth Street Hotel Associates,5/27/20,"Philadelphia, PA",28 permanent 330 temporary
Pennsy Supply,Continuation of November layoffs,"Lancaster, PA",43
Independence Mission School Network,3/31/20,"Philadelphia, PA",Not listed
Lancaster Marriott at Penn Square,3/19/2020,"Lancaster, PA",349
OTG Management PHL B LLC,3/28/20,"Philadelphia, PA",289
"Scott’s Corporate Services, Inc.","March 16, 2020","Erie, PA",27
"Scott’s Corporate Services, Inc.","March 16, 2020","Erie, PA",172
"Scott’s Corporate Services, Inc.","March 20, 2020","Erie, PA",37
Arirang Hibachi Steakhouse,3/20/20,"Bucks, PA",20
Scott’s Corporate Services,"March 22, 2020","Erie, PA",86
Focus Brands LLC,3/27/20,"Lancaster, PA",37
Wyndham Gettysburg,3/26/20,"Adams, PA",6
YMCA of Reading and Berks County,4/1/20,"Berks, PA",228
Primark US Corp - 2 locations,4/1/20,"Montgomery, PA",255; King of Prussia 120; Willow Grove 135
Greyhound Lines Inc.,3/30/20 through 4/13/20,"Philadelphia, PA",97 between both locations
"The Martin Brower Company, LLC",4/1/20,"Chester, PA",56
"Collegiate Hotel Group, LLC","March 16 through June 30, 2020","Centre, PA",67
"David's Bridal, LLC - 4 Locations",4/2/20,"Montgomery, PA",208
Benco Dental Supply Company Inc.,3/27/20,"Luzerne, PA",203
Urban Planet,not5 listedbr/> EFFECTIVE DATE: 3/13/20,"Montgomery, PA",not5 listedbr/> EFFECTIVE DATE: 3/13/20
Urban Planet,3/13/20,"Philadelphia, PA",not listed
Mondee,3/18/20,"Delaware, PA",not listed
Bartaco,3/21/20,"Montgomery, PA",53
Charlotte Russe,3/16/20,"Montgomery, PA",No amount listed on WARN
Trans-Bridge Lines,"March 16, 2020","Northampton, PA",102
Office Depot – Bristol Distribution Center,6/5/20 through 6/18/20,"Bucks, PA",175
Dentsply Sirona,4/1/20,"York, PA",138
Universal Pressure Pumping Inc,4/6/20 through 4/20/20,"Fayette, PA",180
Benihana Plymouth Meeting,3/16/20,"Montgomery, PA",35
Benihana Pittsburgh,3/16/20,"Allegheny, PA",27
The Logan Philadelphia Hotel,3/17/20,"Philadelphia, PA",375
"CBC Companies, Inc",3/27/20,"Allegheny, PA",24
Ski Liberty Operating Corporation,"April 6, 2020","Adams, PA",57
"Cinemark USA, Inc – multiple locations",3/26/20,"Allegheny, PA",475
Durham School Services,6/30/20,"Dauphin, PA",90
Paper Source,3/29/20,"Chester, PA",10
Paper Source,3/29/20,"Philadelphia, PA",27
Paper Source,3/29/20,"Delaware, PA",18
"PrimeFlight Aviation Services, Inc",3/26/20,"Philadelphia, PA",84
Renaissance Pittsburgh Hotel,"March 29, 2020","Allegheny, PA",169
Sodexo at The University of Pittsburgh,"June 30, 2020","Allegheny, PA",708
Sodexo,"June 30, 2020","Cambria, PA",64
"Pace Industries, Inc., Airo Division",3/20/20,"Westmoreland, PA",392
"Lake Naomi Club, Inc",4/3/20 through 5/15/20,"Monroe, PA",47
"Marty Sussman Organization, Inc ( They operate 5 different subsidiaries – Car Dealerships)",3/30/20,"Montgomery, PA",137
"Tait Towers Manufacturing, LLC",3/30/20,"Lancaster, PA",257
"Beasley Media Group, LLC",4/1/20,"Montgomery, PA",63
Wesley Family Services (various locations),"April 1, 2020 through April 14, 2020","Allegheny, PA",83
Parx Racing,4/13/20,"Bucks, PA",227
"AK Coal Recourse, Inc","April 9, 2020 through April 30, 2020","Somerset, PA",101
"Suit Supply (USA), Inc.",3/29/20,"Montgomery, PA",12
"Suit Supply (USA), Inc.",3/29/20,"Philadelphia, PA",14
Parx Casino,4/13/20,"Bucks, PA","1,997"
"AK Coal Recourse, Inc.","April 9, 2020 through April 30, 2020","Somerset, PA",101
"C. F. Martin & Company, Inc -3 Locations",3/20/20,"Northampton, PA",434
"Lehigh Cement Company, LLC",4/9/20 through 4/23/20,"Northampton, PA",56
Ledvance LLC,5/1/20 to 6/12/20 (3 Waves),"Northampton, PA",54
Miller’s Ale House,3/21/20,"Luzerne, PA",82
Vitro Automotive / Pittsburgh Glass.,"March 20, 2020","Blair, PA",221
Miller’s Ale House,3/21/2020,"Montgomery, PA",90
"Neuronetics, Inc",4/8/20,"Chester, PA",97
Vitro Flat Glass LLC,6/10/20,"Crawford, PA",109
Super Shoes,3/20/20,"Various, all over the state, PA",137
Lake Naomi Club,4/3/20 through 5/15/20,"Monroe, PA",13
Prospect Airport Services Inc.,3/19/20 (layoffs to continue for 30 to 60 days thereafter scheduled in response to airline industry demands which are fluid at this time),"Philadelphia, PA",329
"FXI, Inc",4/30/20 through 5/31/20,"Erie, PA",58
"Pennsy Supply, Inc",3/17/20,"Luzerne, PA",79
"Pennsy Supply, Inc",March 17. 2020,"Dauphin, PA",52
"Pennsy Supply, Inc",3/20/20,"Luzerne, PA",27
"Pennsy Supply, Inc",3/17/20,"Lancaster, PA",77
"Pennsy Supply, Inc",March,"Lebanon, PA",43
Deluxe Entertainment Services Inc.,3/25/20-4/2/20,"Lackawanna, PA",28
Lehigh Cement Company LLC,Between 4/23/20 and 5/7/20,"Berks, PA",73
"Phelan Hallinan Diamond & Jones, LLP",3/27/20,"Philadelphia, PA",48
"1623 Restaurant Limited Partnerships, L.P  d/b/a Alma De Cuba",3/16/20,"Philadelphia, PA",78
Miller’s Ale House Inc,3/21/20,"Lancaster, PA",72
"Barclay Restaurant Group, LP",3/16/20,"Philadelpphia, PA",79
Miller’s Ale House Inc,"March 21, 2020","Delaware, PA",87
"Costar Partners, L.P. d/b/a Buddakan",3/16/20,"Philadelpphia, PA",97
SBI Restaurant Partners LP,3/16/20,"Philadelphia, PA",91
Continental Restaurant Partners d/b/a Continental Old City,3/23/20,"Philadelphia, PA",83
1801 Restaurant Partners LP Continental Midtown,3/23/20,"Philadelphia, PA",127
Miller’s Ale House Inc.,3/21/20,"Lehigh, PA",64
Miller’s Ale House Inc.,3/21/20,"Philadelphia, PA",69
"Cardone Industries, Inc – 2 locations",4/6/20 through 4/17/20,"Philadelphia, PA",127
Titanium Metals Corporation,4/15/20 through 4/24/20,"Berks, PA",104
Lehigh Cement Company LLC,4/27/20 through 4/30/2020,"Northampton, PA",21
Lending Home Corporation,"April 25, 2020","Allegheny, PA",19 permanently and 28 temporarily
Aveanna Healthcare,4/13/20,"Luzerne, PA",51
The Monongalia County Coal Company,6/2/20,"Beaver, PA",174
Energizer Glenshaw,"April 7, 2020 through June 2020","Allegheny, PA",4 affected this wave
Fairmont Pittsburgh,"March 25-27, 2020","Allegheny, PA",174
"Murray American River Towing, Inc","June 2, 2020","Westmoreland, PA",92
Energizer Glenshaw,"May 4, 2020 through May 14, 2020","Allegheny, PA",22
"Murray American Transportation, Inc","June 2, 2020","Westmoreland, PA",69
Springs Window Fashions - 2 locations,4/6/20,"Montgomery, PA",91
Philadelphia Energy Solutions,4/19/20 - 26 affected; 5/15/20 - 138 affected,"Philadelphia, PA",164
Friendly’s Restaurants,"March 17 through March 30, 2020","Lebanon, PA",27
Friendly’s Restaurants,"March 17 through March 30, 2020","Adams, PA",25
Friendly’s Restaurants,3/17/20 to 3/30/20,"Dauphin, PA",23
"Back on South Restaurant Partners, LP",3/23/20,"Philadelphia, PA",31
BSSS Partners LP,3/23/20,"Philadelphia, PA",22
"Bierfish Restaurant partners, LP d/b/a/ Frankford Hall",3/23/20,"Philadelphia, PA",50
"Select Restaurant Partners LP, d/b/a Pizzeria Stella",3/23/20,"Philadelphia, PA",42
Friendly’s Restaurant,3/17/20 through 3/30/20,"Cumberland, PA",31
"Eighteenth St Restaurant Partners, LP","March 23, 2020","Philadelphia, PA",118
Washington Square Restaurant Partners LP,3/23/20,"Philadelphia, PA",149
"Thirteenth St Restaurant Partnerships, LP dba EL Vez","March, 23 2020","Philadelphia, PA",172
"Parc Restaurant Partners, LP d/b/a PARC","March 23, 2020","Philadelphia, PA",263
Carpenter Comfort Cushioning Products,3/20/2020,"Blair, PA",43
The Bunker LLC,"March 23, 2020","Philadelphia, PA",113
700 Chestnut Restaurant LP,3/23/20,"Phildelphia, PA",72
Chestnut Street Venture LP,3/23/20,"Phildelphia, PA",85
"Hard Rock Café International STP, Inc",4/13/20 - 4/27/20,"Phildelphia, PA",93
"Hard Rock Café International USA, Inc.",4/13/20 - 4/27/20,"Allegheny, PA",68
ArcelorMittal Plate LLC,4/26/20,"Montgomery, PA",13
Visionworks,4/4/20,"Multiple (Allegheny, Beaver, Berks, Bucks, Butler, Cambria, Centre, Chester, Cumberland, Dauphin, Delaware, Erie, Franklin, Lackawanna, Lancaster, Lehigh, Luzerne, Monroe, Montgomery, Northampton, Philadelphia, Washington, Westmoreland, York), PA",414
Enterprise Holdings,"March 23, 2020","Dauphin, PA",124
"Harrah’s Philadelphia Casino & Racetrack , (Chester Downs & Marina, LLC)",3/28/20,"Delaware, PA","1,127"
OS Restaurant Services LLC,3/15/2020,"Multiple (Allegheny, Berks, Blair, Bucks, Centre, Chester, Cumberland, Dauphin, Delaware, Erie, Lancaster, Lehigh, Luzerne, Montgomery, Northampton, Washington, York), PA","2,952 impacted at 46 locations in 17 counties"
"QVC, Inc Lancaster Distribution Center (Qurate Retail Group)","July 1, 2020 ( 1st phase affecting 20. Other 20 were reassigned) Layoffs will continue till 2021.","Lancaster, PA","1,124"
"Eat N Park Hospitality Group, Inc",3/6/2020 - 3/17/2020,"Montgomery, PA",335
The Hertz Corporation – 2 locations,4/14/20 - 4/20/20,"Philadelphia, PA",92
Miller’s Ale House,3/21/20,"Montgomery, PA",70
Alphabroader (Prime LIne),4/17/20,"Philadelphia, PA",17
Shared Service Center Bethlehem,7/2/20,"Northampton, PA",205
"ArcelorMittal Steelton, LLC",4/26/20,"Dauphin, PA",4
Harbison Walker International,5/4/20 - 5/25/20,"Allegheny, PA",99
Enterprise Holdings,3/16/20,"Allegheny, PA",45 permanent and 144 temporary
Ledvance LLC,5/1/20 through 7/17/2020 (5 Waves),"Northampton, PA",54
Bowhead Integrated Support Services,4/24/20; 5/1/20; 5/3/20,"Franklin, PA",7 (April 24); 11 (May 1); 3 (May 3)
"Sam Levin Furniture, LLC","May 5, 2020","Westmoreland, PA",53
Merit Medical Systems Inc.,5/1/2020 through 12/31/2020,"Chester, PA",134
Original 2/7/20,"May 1-14, 2020","Allegheny, PA",11
Original 12/2019,"March 3- 16, 2020","Erie, PA",16
IPSCO Koppel Tubulars LLC,3/31/2020,"Beaver, PA",11
Bear Creek Mountain Resort,3/19/20,"Lehigh, PA",352
Clean Care,3/19/20,"Allegheny, PA",103
Richard Sandoval Hospitality - Aqimero Restaurant,3/16/20,"Philadelphia, PA",All Restaurant Staff
"OTG Management PHL, LLC",3/16/20,"Philadelphia, PA",11
ParadIes-Pleasant News,3/18/20,"Philadelphia, PA",13
NAYA EXPRESS V PHILLY LLC,3/17/20,"Philadelphia, PA",11
Keystone Powdered Metal Company,3/20/20,"Elk, PA",339
Camelback Resort,4/1/20 through 5/4/20,"Monroe, PA",720
Wyndham Gettysburg,3/24/20,"Adams, PA",78
"Snyders’ Gateway, Inc.","March 17, 2020 & March 23, 2020","Bedford, PA",66
IBEX,"June 30, 2020","Allegheny, PA",63
"Sam Levin Furniture, LLC","March 20, 2020","Westmoreland, PA",318
"Phoenix Theatres Entertainment, LLC",3/16/20,"Allegheny, PA",23
FedEx Ground,"May 16, 2020","Allegheny, PA",186
"Clarks Americas, Inc.","March 19, 2020","York, PA",121
Fitler Club LLC,3/18/2020,"Philadelphia, PA",238
Cameron Mitchell Restaurants LLC,Between 3/16 and 3/31/20,"Philadelphia, PA",90
OTG Management PHL B LLC,3/16/2020,"Philadelphia, PA",260
Warwick Rittenhouse Square Hotel,3/22/2020 - 4/3/2020,"Philadelphia, PA",53
XPO Logistics,5/11/2020 - 5/25/2020,"Berks, PA",92
Greater Philadelphia YMCA,3/20/20,"Philadelphia, PA",3400
Hojeij Branded Foods LLC,3/25/20,"Philadelphia, PA",Not listed
Kelly Automotive Group,3/21/20 - 3/31/20,"Lehigh, PA",123
Wyndham Garden Hotel - Philadelphia International Airport,3/24/20,"Philadelphia, PA",38
"Lynx FBO Pittsburgh, LLC",4/1/20,"Allegheny, PA",6
Workers attached to 24,3/19/20 through 4/1/20 (dates are fluid),"Allegheny, PA",88
Pennsy Supply Inc,3/23/2020,"Lancaster, PA",58
Pitney Bowes Inc,5/25/20,"York, PA",59
"ITG Cigars, Inc",3/20/20,"Schuykill, PA",67
Indochino Apparel Inc,3/25/20,"Monroe, PA",13
Novum Pharmaceutical Research Services,3/23/20,"Allegheny, PA","unknown, an attempt to contact the company regarding this information has been made"
Ashley Furniture Industries Inc,3/20/20 through 6/01/20,"Berks, PA",169
Sheraton Philadelphia Downtown,3/25/20,"Philadelphia, PA",197
G&W Laboratories Inc.,5/4/20 through 6/30/20,"Bucks, PA",124
Naya Express Restaurant,3/23/20,"Philadelphia, PA",10
YMCA of Erie,3/20/20,"Erie, PA",607 workers in 23 locations
Kleinfelder,"June 22, 2020","Cumberland, PA",36
MacIntosh Linen and Uniform,no date provided in WARN,"Northampton, PA",97
Discount Dance LLC,Not listed,"Luzerne, PA",51
Thermal Windows and Doors,3/27/20,"Westmoreland, PA",114
"America’s Auto Auction Pennsylvania, Inc","March 17 thru April 30, 2020","Washington, PA",32
Cornerstone Building Brands,"March 31, 2020","Beaver, PA",100
Universal Pressure Pumping Inc,4/6/20 through 4/20/20,"Fayette, PA",Amount not listed
Erie Coke Corporation,4/7/20 through 4/20/20,"Erie, PA",8
Drive Time-Philadelphia Inspection Center,3-31-20,"Bucks, PA",130
Pennsy Supply Inc,November 2019 (continued layoff due to COVID 19 mitigations),"Lebanon, PA",29
"Archway Marketing Services, Inc. (""Archway"")",5/29/2020,"Montgomery, PA",66
API Americas Inc./Foils Americas,"All employees will be laid off between February 5, 2020 and March 31, 2020","Bucks, PA",TBD (will be updated as information is received)
IBEX,3/31/2020,"Allegheny, PA",147
"Schaffner Manufacturing Company, Inc.","June 30, 2020","Allegheny, PA",61
McKesson Corporation,4/3/2020,"Dauphin, PA",64
Oakwood Worldwide LP,3/30/2020,"Bucks, PA",4 (prior WARN was 3 for a total of 7 impacted at facility)
Energizer,"April 7- 21, 2020","Allegheny, PA",24
Bowhead Integrated Support Services,beginning 3/10/2020,"Franklin, PA",up to 323
Chevron,4/6/2020 – 12/31/2020,"Allegheny, PA",288
Philadelphia Energy Solutions,4/19/2020,"Philadelphia, PA",170 (87 hourly employees and 83 salaried employees)
TechnipFMC,"April 14, 2020","Greene, PA",80
Ditech Financial LLC,1/31/2020,"Montgomery, PA",101
Johnson & Johnson,"March 6 – April 3, 2020","Chester, PA",9
Graham Packaging Company,"March 2020 to October 31, 2020","Luzerne, PA",84
"IAP Worldwide Services, Inc.","February 28, 2020","Monroe, PA",TBD
"Allegheny Wood Products, Inc.",1/7/2020,"Clarion, PA",87
"Greenwich Logistics, LLC","March 20, 2020","Allegheny, PA",91
UPMC Susquehanna Sunbury Hospital,3/31/20,"Northumberland, PA",154
Sodexo Inc. and Affiliates,3/31/2020,"Northampton (Muhlenberg Hospital) and Lehigh (Lehigh Valley Hospital), PA",353
Erie Coke Corporation,staggered separations are continuing through 1/30/20,"Erie, PA",149
Kimball David Edward,6/15/2020,"York, PA",80
"Veolia Water Technologies, Inc","49- March 27, 2020","Allegheny, PA","49- March 27, 2020"
Corsicana Bedding,"Feb. 3, 2020","Schuylkill, PA",59
Liberty Property Trust,2/3/2020,"Chester, PA",94
Erie Coke Corporation,12/19/2019; staggered separations will continue through 1/30/20,"Erie, PA",149
FirstEnergy Generation Corp.,"February 15, 2020","BEAVER, PA",13
ACF Industries LLC,10/15/19 – 12/31/19,"Northumberland, PA",148
Pentec Health,"January 4, 2020","Delaware, PA",73
Albertsons Companies,11/27/19,"Montgomery, PA",56
"Prospect Penn Health Club, Healthplex Sports Club Facility","January 17, 2020","Delaware, PA",175
Johnson & Johnson,"January 10-24, 2020","Chester, PA",6
Cerner Corporation,"January 14, 2020","Philadelphia, PA",2
